Name,Notiz,Produzent,Herkunft,Einheit
Algen-Roiboos-Tee,,Porto-Muiños,Spanien (Galicia),100g
Café RebelDía gemahlen,Arabica,gebana,Mexiko,500g
Fenchelsamen,Kräutertee,Grünenfelder Herbs,Vaulion/VD,100g
Hibiskusblüten - Bissap,,Tamneere,Burkina Faso,100g
"Kaffee ""La Bomba""","Espresso-Mischung, 60% Robusta, 40% Arabica",KAFFEEPUR,Zürich Wiedikon,1kg
"Kaffee ""Vulcano Nero""",100% Arabica Mischung,KAFFEEPUR,Zürich Wiedikon,1kg
"Kamille, echte",Kräutertee,Grünenfelder Herbs,Vaulion/VD,15g
"Kräitertee ""Drachenfeuer"" (Halstee)",,Grünenfelder Herbs,Vaulion/VD,50g
"Kräutertee ""Gute-Nacht-Tee""",,Grünenfelder Herbs,Vaulion/VD,50g
"Kräutertee ""Morgentee""",,Grünenfelder Herbs,Vaulion/VD,50g
Lemongrass - Citronelle,,Tamneere,Burkina Faso,100g
Lindenblüten,Kräutertee,Grünenfelder Herbs,Vaulion/VD,20g
Marokkanische Minze,Kräutertee,Grünenfelder Herbs,Vaulion/VD,30g
Rooibusch,bio,Gewürzprofi,Südafrika,80g
"Tee “Cha Verde""",bio,Gewürzprofi,Portugal/Azoren,80g
Assam Tee ,"Schwarztee, stark",Gewürzprofi,Indien,80g
Earl Grey Tee,Schwarztee mit Bergamotte,Gewürzprofi,China,80g
Orange Pekoe Tee,"Schwarztee, leicht, bio",Gewürzprofi,Portugal/Azoren,80g
Zitronenverveine,,Tamneere,Burkina Faso,100g
