Name,Notiz,Produzent,Herkunft,Einheit
Calvados du Domfrontais AOC Hors d'âge 8 ans,,Domaine Olivier,Frankreich (Normandie),70cl
Cidre fermier brut ,,Domaine Olivier,Frankreich (Normandie),75cl
Cidre fermier doux ,,Domaine Olivier,Frankreich (Normandie),75cl
Poiré fermier ,"""Birnen-Cidre""",Domaine Olivier,Frankreich (Normandie),75cl
Poiré L'or de la Poire A,"""Birnen-Cidre"", premium",Domaine Olivier,Frankreich (Normandie),75cl
"Wein ""Autin""",Aus Dolcettotrauben gekeltert und im Eichenfass ausgebaut (2001),Cascina Le Roche,Italien,750ml
"Wein ""Còccu""","Aus Dolcetto- und Barberatrauben gekeltert, Barriqueausbau (2006)",Cascina Le Roche,Italien,750ml
"Wein ""Crsta""",Aus Dolcettotrauben gekeltert und im Eichenfass ausgebaut (2003),Cascina Le Roche,Italien,750ml
"Wein ""Folèt""","Marcello’s ganz persönliche Rotweinkreation, ungespritzt (2009)",Cascina Le Roche,Italien,750ml
"Wein ""Ladiv""",Orange Wine (2013),Cascina Le Roche,Italien,750ml
"Wein ""Roche""",Aus Dolcettotrauben gekeltert und im Eichenfass ausgebaut (2004),Cascina Le Roche,Italien,750ml
"Wein ""Ruset""","Heller, leichter Rotwein (2014)",Cascina Le Roche,Italien,750ml
Calvados du Domfrontais AOC Hors d'âge 8 ans,,Domaine Olivier,Frankreich (Normandie),70cl
Cidre fermier brut ,,Domaine Olivier,Frankreich (Normandie),75cl
Cidre fermier doux ,,Domaine Olivier,Frankreich (Normandie),75cl
Poiré fermier ,"""Birnen-Cidre""",Domaine Olivier,Frankreich (Normandie),75cl
