Name,Notiz,Produzent,Herkunft,Einheit
Bergkräuter-Seife,vegan,Soglio,Graubünden,95g
Calendula-Crème,,Soglio,Graubünden,75ml
Duschplus,vegan,Soglio,Graubünden,200ml
Duschplus (Nachfüllpack),vegan,Soglio,Graubünden,1L
Handspray - Desinfektion,vegan,Soglio,Graubünden,100ml
Johannis-Öl,"Massageöl, vegan",Soglio,Graubünden,100ml
Lavendel-Öl,"Massageöl, vegan",Soglio,Graubünden,100ml
Natur-Zahnpasta,vegan,Soglio,Graubünden,75ml
Shampoo für normales Haar,vegan,Soglio,Graubünden,200ml
Shampoo für normales Haar Nachfüllpack),vegan,Soglio,Graubünden,1L
"Sheabutter (natur, unparfümiert)",,Tamneere,Burkina Faso,150g
Soli Token,Spende an Tamneere,Tamneere,Burkina Faso,virtuell
"Sonnencreme ""Après-Solar""",vegan,Soglio,Graubünden,200ml
"Sonnencreme ""Après-Solar"" (Reiseflasche)",vegan,Soglio,Graubünden,100ml
"Sonnenschutz ""Solar 7""",vegan,Soglio,Graubünden,75ml
Spirea Sport-Öl,vegan,Soglio,Graubünden,100ml
