Name,Notiz,Produzent,Herkunft,Einheit
Tagliatone,Frische Bio Hartweizen-Pasta mit Biss direkt aus Wiedikon (vegan),Pastificio Wiedikon,Wiedikon/ZH,250g
Dinkel-Hörnli,,Daniels Dinkel Pasta,Schübelbach/SZ,500g
Dinkel-Muscheln,,Daniels Dinkel Pasta,Schübelbach/SZ,500g
Dinkel-Spaghetti,,Daniels Dinkel Pasta,Schübelbach/SZ,500g
Dinkel-Strozzapreti,,Daniels Dinkel Pasta,Schübelbach/SZ,500g
Farfalle semola di grano duro,Produzent IRIS,Terra Verde,Italien,6x500g
Fusilli semola di grano duro,Produzent IRIS,Terra Verde,Italien,6x500g
Lasagne senza uove grano duro,Produzent IRIS,Terra Verde,Italien,5x250g
Orecchiette semola di grano duro,Produzent IRIS,Terra Verde,Italien,6x500g
Pappardelle,,Terra Verde,Italien,250g
Penne semola di grano duro,Produzent IRIS,Terra Verde,Italien,6x500g
Spaghetti semola di grano duro,Produzent IRIS,Terra Verde,Italien,12x500g
