Name,Notiz,Produzent,Herkunft,Einheit
Cashew Nüsse gesalzen/geröstet,,gebana,Westafrika,1kg
Cashew Nüsse Nature,ganz,gebana,Westafrika,1kg
Cashewnüsse Bruch,über offenem Feuer verarbeitet (Rauchnote),Tamneere,Burkina Faso,500g
Erdnüsse (geröstet in der Schale),,Tamneere,Burkina Faso,500g
"Erdnüsse (geschält, gesalzen)",,Tamneere,Burkina Faso,500g
Hanfsamen ungeschält,CH KN,Biofarm,Schweiz,1kg
Haselnüsse geröstet,vakuumiert,Orliva,Spanien (Katalonien),1kg
Haselnüsse natur,vakuumiert,Orliva,Spanien (Katalonien),1kg
Kürbiskerne,CH KN,Biofarm,Schweiz,1kg
Leinsamen,CH KN,Biofarm,Schweiz,1kg
Macadamia Nüsse,Bruch,gebana,Kenia,1kg
Mandeln geröstet und gesalzen,vakuumiert,Orliva,Spanien (Katalonien),1kg
Mandeln Marcona blanchiert,vakuumiert,Orliva,Spanien (Katalonien),500g
Mandeln natur,lose,Orliva,Spanien (Katalonien),1kg
Mohnsamen,CH KN,Biofarm,Schweiz,200g
Nussmischung geröstet/gesalzen,,gebana,Diverse,1kg
Paranüsse,,gebana,Bolivien,1kg
Pekannüsse,,gebana,Peru,500g
Pistazien gesalzen,,Orliva,Spanien (Katalonien),1kg
Pistazien natur,,Orliva,Spanien (Katalonien),1kg
Senfkörner gelb,CH KN,Biofarm,Schweiz,1kg
"Sesamsamen (natur, ungeröstet)",,Tamneere,Burkina Faso,500g
Sonnenblumenkerne,CH KN,Biofarm,Schweiz,1kg
Zedernüssli,,gebana,Russland,500g
