Name,Notiz,Produzent,Herkunft,Einheit
Alpkäse (Geissenmilch),sehr würzig,Madame Fromage,Tessin,250g
"Alpkäse (Kuhmilch, Sélection de Christine)",Vertraut der Käsefrau!,Madame Fromage,"Schweiz, wechselnd",250g
"Bachforelle, ganz & ausgenommen",Kühlkette beachten,Fischzucht Bremgarten,Bremgarten,ca. 280g
Bachtelkäse ,"Halbhart, mild",Sennerei Niderhus,Züricher Oberland,250g
Dinkel-Seitan,,Tofurei Engel,Widen,200g
Fondue Mischung (moitié moitié),der eine Klassiker,Madame Fromage,Fribourg,400g
Gommerfee ,"Camembert, bio",Madame Fromage,Wallis,1 Stück
"Gouda, 2 Jährig",Geheimtipp,Madame Fromage,Holland,250g
Heumilchbutter,"gefroren, hält nach dem Auftauen mind. 3 Wochen",Sennerei Niderhus,Züricher Oberland,200g
"Lachsforelle, Filet mit Haut",Kühlkette beachten,Fischzucht Bremgarten,Bremgarten,ca. 250g
"Lachsforelle, ganz & ausgenommen",Kühlkette beachten,Fischzucht Bremgarten,Bremgarten,ca. 600g
"Lachsforelle, Graved",Kühlkette beachten,Fischzucht Bremgarten,Bremgarten,ca. 200g
"Lachsforelle, gross, ganz & ausgenommen",Kühlkette beachten,Fischzucht Bremgarten,Bremgarten,ca. 2000g
"Lachsforelle, kalt geräuchert",,Fischzucht Bremgarten,Bremgarten,ca. 160g
Raclette,der andere Klassiker,Madame Fromage,Wallis,250g
"Saibling, geräuchert",,Fischzucht Bremgarten,Bremgarten,ca. 80g
Salame di prosciutto Bio aus der Toscana,Produzent SAVIGNI,Terra Verde,Italien,ca. 400g
Schwarzer Peter ,"Hartkäse, rezent",Sennerei Niderhus,Züricher Oberland,250g
"Simmentaler Alpkäse, alt",zum Reiben geeignet,Madame Fromage,Bern,250g
Soja Paneer,,Tofurei Engel,Widen,200g
"Tofu, geräuchert",,Tofurei Engel,Widen,110g
"Tofu, nature",,Tofurei Engel,Widen,190g
"Tofu, nature (Block)",,Tofurei Engel,Widen,1kg
