Name,Notiz,Produzent,Herkunft,Einheit
Algen-Chimichurri,,Porto-Muiños,Spanien (Galicia),170g
Cashew Paste,,gebana,Westafrika,500g
Cornflakes,,Bassetti,Tessin,5x400g
Crema di Carciofi,,Terra Verde,Italien,130g
Crema di Peperoncino piccante,,Terra Verde,Italien,120g
Dinkelflakes,,Bassetti,Tessin,5x400g
Erdnussbutter,,Tamneere,Burkina Faso,330g
Ketchup tradizionale,,Terra Verde,Italien,350g
Macadamia Paste,,gebana,Kenia,500g
Olive nere in Olio extra vergine di Oliva,,Terra Verde,Italien,190g
Olive verdi Nocellara in Salamoia,,Terra Verde,Italien,185g
"Oliven ""Arbequina"" in Salzwasser",,Orliva,Spanien (Katalonien),425ml
"Olivenpaste ""Olivada"" grün",,Orliva,Spanien (Katalonien),165g
"Olivenpaste ""Olivada"" schwarz",,Orliva,Spanien (Katalonien),165g
Passata di Pomodori,,Terra Verde,Italien,6x680g
Pelato (Tomaten in der grossen Dose),,Funky Tomato,Italien (Basilicata),2.55kg
Pesto ai funghi con funghi porcini,,Terra Verde,Italien,170g
Pesto vegan con Basilico,,Terra Verde,Italien,130g
Pomodori Pelati,,Terra Verde,Italien,550g
Pomodori semi-secchi in Olio,,Terra Verde,Italien,190g
Sugo al Basilico,,Terra Verde,Italien,290g
Tahin (Sesampaste),,Tamneere,Burkina Faso,330g
Vollreiswafeln ,Produzent IRIS,Terra Verde,Italien,6x120g
