Name,Notiz,Produzent,Herkunft,Einheit
"Aceto Balsamico di Modena IGP ""SUPERIORE""",,Terra Verde,Italien,500ml
Balsamico bianco Condimento Classico,,Terra Verde,Italien,5l
Crema al Aceto Balsamico di Modena IGP,,Terra Verde,Italien,150ml
Crema al Balsamico Bianco,,Terra Verde,Italien,150ml
Erdnussöl,hoch erhitzbar,Tamneere,Burkina Faso,0.5l
Kokosöl,echte Rohkost,DR. Goerg,Phillipinen,500ml
"Kokosöl, 3l",echte Rohkost,DR. Goerg,Phillipinen,3L
Kokosspeisefett,echte Rohkost,DR. Goerg,Phillipinen,500ml
"Kokosspeisefett, 10l",,DR. Goerg,Phillipinen,10L
"Kokosspeisefett, 3l",echte Rohkost,DR. Goerg,Phillipinen,3L
Leinöl,CH KN,Biofarm,CH,0.5L
Olivenöl Monocultivar Coratina BIO,Preisgekröntes Bio Olivenöl “extravergine” mit bitter und würzigen Noten,Azienda Agricola De Palma,Italien,3L
"Olivenöl Monocultivar Coratina BIO, Kanister",Preisgekröntes Bio Olivenöl “extravergine” mit bitter und würzigen Noten,Azienda Agricola De Palma,Italien,500ml
Olivenöl Monocultivar Peranzana BIO,Bio Olivenöl “extravergine” mit delikatem Charakter,Azienda Agricola De Palma,Italien,3L
"Olivenöl Monocultivar Peranzana BIO, Kanister",Bio Olivenöl “extravergine” mit delikatem Charakter,Azienda Agricola De Palma,Italien,500ml
"Sesamöl, kaltgepresst",,Tamneere,Burkina Faso,0.5l
