"Reviewer_name","Review_text","Rating"
"RosieM1114","We had the vegetarian burger and chicken burger with fries. Really yummy burgers and extremely well priced. Joe was very friendly. Inside could do with a touch up. A great casual dinner.","50"
"xWhalosx","My girlfriend visited Copenhagen a few years ago and found out about Banana Joe through Tripadvisor reviews, and so when we visited Copenhagen at the end of April, we knew we had to go and visit. She had talked about how good the burgers were to the point where I thought she must be exaggerating, but after taking my first bite I was blown away by how great it was! The restaurant is quite unassuming, and if you didn't know about it beforehand you might imagine it is a standard fast food restaurant - you can smell the oil, see the kitchen and everything is tiled plainly, with a big LED sign saying Banana Joe. When we walked in, Joe recognised my girlfriend, despite it having been several years since she had visited, and greeted us both like old friends! We talked for a while and made our orders, then Joe went off and made everything for us - he runs the whole restaurant himself and does everything, which is impressive on its own, but when you also consider that it only opens at 5pm because he works shifts in a hospital beforehand, it's mind-boggling! We then got our food and started eating, and the freshness of the ingredients and perfect balance of flavours really hit the spot. I had the Banana Joe Special burger, the flavours were some of the best I've ever had in a burger, which was incredible considering the price, and I'll admit that at first I was a little skeptical considering the outward appearances of the restaurant. There was so much amazing food for the price we paid - throughout the stay in Copenhagen we would have meals which cost 3 or 4 times as much and weren't half as good!  Joe was so lovely and kind, and you could see (and taste!) that every burger was a labour of love. We enjoyed it so much that we just had to come back the day after with our friends, and because it was their birthday Joe treated us to drinks and dessert, as well as putting on music and just making us feel so welcome! I tried the salmon burger this time, and again it was so fresh and delicious - we ate VERY well those couple of days! So thank you so much to Joe for making an already fantastic trip absolutely unforgettable, and making us feel at home! I absolutely loved the food and experience, his slogan of ""Best Burgers, Nicest Guy"" is absolutely true! Not to be missed at any cost if you're in Copenhagen!","50"
"Анна К","Just came back from a trip to Copenhagen, heard a lot of good reviews about this place and decided to try ourselves. The taste is amazing! I loved the sauce in chicken burger! Everything is just made for you, very fresh and tasty. And the owner is super nice and friendly. You can see how much he cares about customers. Thans Joe, next time in Copenhagen for sure will come to you!","50"
"Jerpa A","I wandered in this restaurant with my girlfriend the other night. Banana Joe greeted us, served us, and gave us some great conversation.","50"
"Mada R","I first went to Copenhagen in 2015 with my mum. The city is absolutely wonderful, but what was even more wonderful was the little restaurant called Banana Joe. She read all the reviews on tripadvisor and decided we had to go try it, and boy did it live up to the comments. In fact it was even better than expected! The burgers were so delicious and the price was really cheap, that we went to eat there every day for dinner. The owner, Joe, is also such a lovely person and a very interesting to talk to! After that trip, I told all my friends they had to go to Copenhagen to try those burgers.  Four years later, I went to Copenhagen for my friend's birthday, from the 29th April - 1st May 2019. During the whole journey there, all I talked about was Banana Joe and how we had to all go try it. I was pleasantly surprised to see that Joe had remembered me and that the prices had remained the same. It was lovely to talk to him again and learn more about him. The fact that he works a hospital day job, then serves delicious food during the evenings shows how dedicated he is. He really does care about people and making them happy!   My friends said the burgers definitely lived up to the hype and were impressed with the price, and how large the portion sizes were. The egg, burgers and flavour of the sauce all worked really well together. They had homemade beef patties, my boyfriend had the salmon (which was mouthwatering, according to him) and I had the veggie burger, which was also very lovely. So if you're a vegetarian, fear not, there are also delicious options for you!   As it was my friend's birthday, Joe put on latin beats for us, treated us all to soda and ice lollies, and chatted with us until closing time. He mentioned that whenever we come to Copenhagen we will always have a friend, which honestly touched our hearts.Thank you Joe for being so welcoming, serving us your fantastic food and making our time in Copenhagen even better!   Overall it has been an incredible experience and I highly recommend this restaurant! Please make sure to go if you have the chance, I cannot stress that enough!!","50"
"Aldafous","If you want to eat delicious food and meet really awesome guy, go for Joe's place. He has great burgers and also great life story! This is a type of place you will never forget! :)","50"
"Alicew08","We found this place due to these reviews on tripadvisor so we walked 20/30 mins to banana Joe’s. Upon arrival it appeared small but we went on it - despite it being empty. only down side was the smell of the oil - smelt like had t been changed in a while, Nevertheless we ordered and the food was great! Nowhere near as greasy as expected by the smell! The Owenr was friendly and talked us through the menu in English. When we left he had 8 people dotted around on various chairs inside and outside - would definitely recommend !","40"
"425marvin_","The burgers were great and the price is really cheap for being CPH. The owner was extremely nice! 10/10!","50"
"vegazbabz","They claim to have the best burgers in Copenhagen. This is by far an over-exaggeration. The burgers are not close to the quality you find around the area or in Copenhagen in general. I had the chicken burger and the special burger as well as french fries. It is a lot cheaper than other places, but the quality is also like the price. The bun was standard from the supermarket and the fries were over-salted.","30"
"lisabP9345XD","My husband, daughter and I ate here on Saturday as soon as it opened. Banana Joe was definitely worth the walk over the bridge from our hotel. Fresh made burgers with delicious toppings hit the spot. The owner is very welcoming, and we enjoyed talking to him. Don’t miss this place on your visit to Copenhagen!","50"
