"Reviewer_name","Review_text","Rating"
"JJL353","The lady owner was extremely welcoming and helped us choose a delicious lunch from the traditional home cooked menu. A friendly mix of tourists and Danes enjoying the Danish menu. A small venue so book to avoid disappointment. I think it is lunchtime only.","40"
"Swimmerdude91","We had researched nice local/authentic restaurants before our trip here. We were only in Copenhagen for the day as part of our Baltic Cities cruise. We stopped off here as planned and SO glad we did! The lady who served us was very friendly and...More","50"
"Margerine","run by a VERY friendly couple, maybe the best place to eat, and not pricy at all. they even advised to not order too much because the portion were big enough. Smörrebröt or how you call it was awesome there. clearly 5 stars","50"
"msr1984","They have a very limited selection of food but what they do have is fantastic taste. The tomato and basil soup was delicious as was my ham sandwich on freshly baked bread. Highly recommended for a lunch!","50"
"Doug_Mac","We had a great lunch here. Small cozy restaurant, excellent attentive service. Great service. Highly recommended for Smørrebrød.","50"
"David_Lisa_Edwards","We stumbled across this pretty restaurant on the way from the mermaid back into town. Great smørrebrod, cold beer and the most friendly service from the lovely Julia. Great place to eat. Generous portions. Would thoroughly recommend.","50"
"Kateryna B","Smorrebrod and meatballs are the great, good place and location to take a lunch. Guests smile to each other, Sophie as an owner is perfect! You might taste herring (marinated/dijon), meatballs, salmon.","50"
"Shirley Y","We had a wonderful lunch here after watching the changing of guards. Lots of choices for open sandwich as the main :)  Both of our dishes are freshly prepared. The meal is made complete with fried camembert cheese, served with jam and  fresh strawberry. This...More","50"
"WanderingYew2","Visited on 14 April for lunch. This café specializes in smørrebrød. Ordered the smørrebrød plate which consisted of marinated herring, fried flounder, pork tenderloin, and brie. The staff was very helpful on my visit, explaining how to eat and prepare the smørrebrød. And not only...More","50"
"vigera2019","The traditional Danish herrings and sandwiches are amazing! The waitress is extremely nice and she recommended a very good beer! 传统的丹麦熏鲱鱼超好吃，酸酸甜甜！配上黑面包自己做成开放三明治，味道很棒了。服务员超级热情，不用招呼，每过一会儿会主动过来问询。她推荐了一款丹麦的黑啤酒，很好喝！整体不贵，一个人吃了个特色套餐（熏鲱鱼和面包做前菜，另有炸鱼和猪排两道煮菜，一人吃有点多了），啤酒，加起来186。","50"
"Stefan M","We had the nicest meal at the Cafe Komplet. Even though the place is small it is very cozy, quiet with a very familiar atmosphere. This is very much due to the very good service offered by our hostess whom we had a lovely chat...More","50"
"LittlePix7","We had read about Cafe Komplet and it was on our list of places we might have eaten at when visiting Copenhagen, so we were really happy to stumble across it when we were starving and after some lunch. They serve the traditional smorrebrod which...More","50"
"champagnepapi89","The food looks as good as it tastes. The price point ia very accesible. I enjoyed very much having lunch at this cosy restaurant. The service was incredible too! Had the opportunity to meet a great person. Ms. Julia is the administrator of this great danish restaurant. Would recommend it to anyone! ","50"
"Agataja","Wow, it was great lunch. Very small and very cozy restaurant with amazing quality of typical Smorebrod! Big porcions, great fresh food and so tasty dessert! I would definitely recomend it! Go and try your luck if you find free spot! And also good price!","50"
"69anastasiak","Excellent food and service! Here you can try a very tasty local dishes. Highly recommend this place!","50"
"JacquelineBui","The waitress was very welcoming and suggested us the best dishes to try. And the food was amazing! Definitely recommend!","50"
"tenequm","Visited it with friends, staff was very friendly and pleasant! Would totally recommend this place! Many thanks for explanation on how to eat danish cuisine!","50"
"373anastasiiac","I was absolutely satisfied with service and cuisine. The chef cooks delicious, personal is very friendly. I received not only good food but also recommendations about where to go in Copenhagen. Nice atmosphere:) highly recommend to visit!","50"
"NielsenLea","It's always a nice place to visit. Nice and smiling service as well as great traditional danish open sandwiches. I have been there more than once, and will come again.","50"
"Limey100","Food was really homely and delicious. The portions are big! The owners are also the chef and front of house staff. They are super friendly and make you feel really very welcome.","50"
"746brunaa","Lovely traditional Danish food and helpful staff. Cozy restaurant, good atmosphere. Highly recommend a stop by.","50"
"Max K","Had a great lunch upon recommendation by the friendly staff. She also explained to me the proper way to DIY myself! Mind opening.","50"
