"Reviewer_name","Review_text","Rating"
"Praxibetel_Ix","You walk down Vesterbrogade towards Frederiksberg garden & the Zoo. You pass a couple of windows which are filled with lids/sides from wine boxes. You look up, a simple sign tells you that this is the wine bar / Ristorante Enomania. You then look through the window into a near naked room with a counter, couple of tables and chairs and think; is this what I was recommended? It does not look like a world class Italian restaurant, but do not get fooled by the looks of it. We went in and was warmly greated by the international staff and through a maze guided to our table in the back of restaurant in a cozy room, dominated by a giant wine rack. And let me just say, the food is good, very good. You have one menu to choose from, and I recommend to go for the full 4 course Italian style menu, which is reasonably priced. Then there is the wine. You probably cannot find a better selection of quality Italian wine anywhere in Copenhagen and not just the wine, the waiters knowledge of wine is outstanding. Be aware; you are more than lucky if you just walk in and get a table, you need to book well in advance and that is fully understandable","50"
"bennoc2016","Vi had a lovely dinner in a cozy atmosphere Good variations and great italian wine. Loved it. We had lovely tortellini, risotto, ox and dessert.","50"
"Abi M","Came in as family of 4, we sort of received a disappointed look maybe bec of kids 10 and 13?  Ordered risotto which was great but the rest of the family didn’t like their mains. greens were bitter.  Beware of bread and ham, cost 25pp-which is fine but would have been good to know that it wasn’t free, we didn’t ask for it and thought it was a nice touch - only to see 100krono charge on the bill. Sorbet was bitter, crust at bottom was so hard. Really wanted to love this restaurant because of the reviews so it’s disappointing. Maybe it was just menu wasn’t great when we went, but don’t recommend.","20"
"bjorkebo73","Italian family restaurant in an unformal setting. Rustic real italian food with nice flavours. Great winelist with good value. Kind and efficient staff. Very knowledgable especially on wine and olive oil. A great meal bringing back memories of real rustic meal in italy. I wish they were in my neighbourhood in Stockholm.  Value 5 Quality 4.98 Keep it up.","50"
"elvirasandberg","We had a wonderful time here. There was a wide selection of wines and very good italian cuisine! The pasta were delicious! We definitely recommend!","40"
"afbcph","Truly Italian food, super nice staff and great wine. A bit of a hidden gem that I will definitely come back to. Only set menu but that is only a positive when it is as good and balanced as it was tonight. Well done.","40"
"Halgrim","There is no a la carte menu. There is just one tasting menu, from which it is possible to select single dishes in different sizes. But it would seem foolish not to go for the full course!  Everything is incredibly tasty and well prepared. We started with ravioli, then had risotto with fish, then moved on to super tender and tasty meat, followed by dessert. Not a single thing we would improve.  They are big on wines (the restaurant is attached to a wine shop), but the wines are generally not cheap. That said, we asked for recommendations and had a few excellent wines at ok prices that were not on the menu. For people ready to spend on wine then this is a must. Atmosphere? Fantastic! We sat in what seemed like a newly renovated dining room with good ambience, but asked if we could move outside because it was too hot (one of the hottest days in August). We had the dessert and coffee in the courtyard, which was happy and lively even late at night.  Our only issue - we were there to celebrate a big birthday, but apart from a small flag on the table they did not comment. Would perhaps have been nice with some acknowledgement.  Recommended? Absolutely! This is undoubtedly one of the best picks for a date or a night out with friends or family. Can’t wait to taste the new menu next month.","50"
"HFranck63","Highly recommendable authentic Italian restaurant where the wine (not only Italian) is in focus and the food is classic. The service is top-class and you can easily leave the choice of wine to the host. TIP - if you are party of max. 8 persons there is a separate room in the basement. I will be back.","50"
"TFNLONDON","I have been here several times for lunch as well as for dinner. You got to be careful as it is a bit addictive! It can't think of any restaurant where the offer food, wine and atmosphere on this level. Price/quality (especially considering you are in Denmark) doesn't make sense in my opinion, its simply too cheap. there is no question I will be back very soon.","50"
"Per T","The food is best value Italian in Copenhagen. We took the fixed menu and wine menu. It does not get better. The staff is very friendly and the service is perfect.","50"
"GonkaP","Great food and an amazing wine selection. The restaurant is cozy, being divided in several small rooms. The staff is “mediterranean style” friendly, making the experience more authentic. The antipasti starters are set by default but they are quite good (bread and olive oil, ham, etc). The list is quite short and it changes regularly. The possible choices were 3: risotto, pasta and meat. We went for risotto (with cucumber, pumpkin seeds and halibut rolled in bacon) and pasta (lasagnetti with mushrooms and arrabiata sauce). The risotto was incredibly tasty! For desert there was strawberry sorbet with nectarine and chocolate brownie, and it was totally worth it. I’ll save Enomania in my memory!","50"
"Moses H","Seven of us were fortunate to dine in Enomania last night. The experience was truly memorable for all of us. The fixed 4 course meal consisted of pumpkin risotto topped with king prawn, a second course of homemade pasta (the name of which I forgot) filled with exquisite veal, followed by juicy beef, garlicy mash, topped with truffle shavings and a delightful zabaglione, ice cream and pear to finish.  Every dish was perfectly executed. We couldn't agree on which dish was the best. We shared a bottle of San Gimignano white and equally good italian red. Very attentive service. The final total bill was well worth the experience. No hesitation to recommend this restaurant. Deserve to move up the trip advisor ladder to top 5.","50"
"Lars M","Enomania is an Italian restaurant in Copenhagen. The restaurant is in rather humble localities, but its menus are real top class and an gourmet experience. You should choose the wine menu corresponding to the menu, and you will then have the best of the best. The service is perfect. The waiter will take care of you and your wishes. Next to the restaurant Enomania has a wine shop where you can buy the most exclusive wines.","50"
"ConnaisseurBram","This works very good if you need a evening where wine and food are balanced 😀 Clean place, and they share knowledge if you want!!! This works good for serious date's, business and of course if you are passionate about food and wine....","50"
"Adam S","Italy is famous for its cuisine and their wine, and this place proves that! Their menus with winepackage is well worth a recommendation if you dont want to choose for yourself.","40"
"vandenbg","This could have been a top restaurant in Italy! The only thing different is that the wine list is better here than in Italy! All the top italians as excpected but lots of other goodies from France and Germany as well. For example a Schönleber Riesling Halenberg GG vertical 2007-20016   We had the 4 dish set menue with Risotto, Ceppelletti, weal and Panna cotta, all excellent! But the wine.... THE WINE!!! Cavallotto Barolo Riserva Bricco Boschis Vigna San Giuseppe 2010, magnificent!  We went here on recommendation from a danish wine friend and from know on this is a must every time in Copenhagen!","50"
"PascalPL","Excellent value for money! Damiano the owner and restaurateur/cook makes you feel like you are at his home. We took the set menu with wines. The food was superb and there was plenty of very good wine to go with it! For price paid it is really excellent value for money. Only reservation I have is that the place could be more cozy/romatic. We will come back to try the new menu when available! Thanks Damiano!","50"
"Vesa J","This was my second time visiting Enomania. The first time blew my mind and I was really looking forward going there again. Now a couple of years later I took my wife there for a Friday night dinner. Luckily the first time was not a fluke. This small ""hidden gem"" is one of the best restaurants I have ever visited, anywhere. Their risotto is perfect. Their ravioli is amazing. Enjoying the four course menu together with a bottle of Barolo was an unforgettable experience. Please note it's closed on Saturdays. Book well in advance. I'll be back!","50"
"Kerny U","Great little restaurant italian-style with very high standards in both food and wine! Not open everyday, not to many seats - often occupied by locals. Don't anybody about this little pearl!","50"
"knuts333","A great success! We enjoyed a fantastic 4 course dinner, where the excellent food was lifted by the paired wines. The risotto and ravioli stands out as our clear favorites. Will be back.","50"
"YorkJean","This has been the best restaurant experience in Copenhagen.Felt you were very welcome guests.Fantastic wines and really good food to accompany them.We chose the four course menu with accompanying wines.Its possible to have two,three or four courses from the set menu.Tonight we began with charcuterie,followed by green and white asparagus lasagne topped with cod.Absolutely delicious- especially since the lasagna was so thin and silky..A Guinea fowl risotto topped with black truffle followed.Again very moreish.Thinly sliced beef and grilled vegetables followed.Accompaying wines were first class .The restaurant was full - mainly groups and family get togethers.At times there were waits between courses but we didn't mind.It gave us longer to chat and enjoy the evening.Nice not to have a time constraint on the table. The restaurant is easily reached on the 6A bus from the central station.","50"
"558HenrikS","Great authentic italian food - perhaps better than in Italy. Fantastic wines and a waiter with big knowledge about the wines. I would have given Enomania five stars if it hasn't been for the very slow servings. Absolutely worth visiting.","40"
"Igors L","We were a group of four and all of us tried the 4 course set menu:  Homemade focaccia with charcuterie as antipasti Risotto with peppers, fish and basil Cannelloni with veal, green beans and beetroot Thinly sliced steak with savoy cabbage, selery puree and potatoes Chocolate ice-cream with vanilla and pear  We all agreed that the food fantastic! While presented in a simple way, it was packed with flavor. Every dish was executed flawlessly.  We asked for a fresh and aromatic bottle of white wine and their choice was spot on!  The place is cosy, with great service and fun atmosphere.  Bib gourmand is here to stay!  We definitely will be back!","50"
"Ian S","A couple of friends at work had raved about this place and as I am a big burgundy wine fan I thought it was worth a try. I was not disappointed- the food was superb and the wine excellent. Great recommendations and I have discovered my favourite restaurant in Copenhagen!","50"
