"Reviewer_name","Review_text","Rating"
"Fernando D","Staff is very friendly but there are very few options for vegans. Good choice for drinking and having a snack only.","20"
"320jensb","Excellent god an great and personal service. They managed to cerater a familiar and special atmosphere","40"
"tcuts11","My husband and I are traveling and decided on this restaurant for my special birthday dinner during our vacation and I’m so glad we did! Not only was the food AMAZING, the two men who own the restaurant also are the chefs and waiters. They explain how all the dishes are made in detail and are very accommodating with requests (I’m pregnant so need to adjust my diet slightly right now). They chat with you and make you feel like you are having dinner amongst friends. With only 30 seats in the restaurant the atmosphere is cozy almost as if you were eating in an apartment. If you’re looking for simply just a wonderful meal and easy evening, definitely add this restaurant to your list! 10/10 would recommend.","50"
"LMegan96","We had a fantastic meal here in this wonderful restaurant. Everything we eat was delicious. Highly recommended!","50"
"jamespL1374UX","On our final day to Copenhagen my girlfriend and I went to this wonderful restaurant based on fellow travellers feedback and I must say this has been one of my favourite culinary experiences ever.   Upon entering you are greeted by the staff like an old friend which makes you feel at home .   The decour is fantastic while there is a lovely warm ambience .   The food was on a different level . We opted for the taster menu and it was simply devine .   The starter consisted of aubergine and tomato topped with parmesan which was fantastic .   The soup was a mussel , sun dried tomato broth with capers which also had cream through it . Every mouthful brought a different but enjoyable taste .   The first mains taster was a grilled tuna with salsa verde and gnocchi . This dish was simply sensational .   The second taster was occo buco which is a beef dish off the shin . It was simply sensational along the accompiments .   We somehow had room for dessert so opted for the cannoli filled with cherry , orange and cream which was splendid . My girlfriend went for petit fours which were gorgeous .   This is definitely one of the best restaurants I have ever been to and deserves all the accolades given so if you are going to take a trip to this magical city then do book this place and make it even more special","50"
"Louise H","Picked it purely based on reviews on Trip. Was not disappointed at all. Quality of food absolutely first class. Up there with some of my best dining experiences ever. Atmosphere was fun but classy. Very surprised at total cost too. Very pleasantly surprised in fact - compared to what an equivalent meal would have cost in Dubai, it was a bargain! Thoroughly recommend it. Wonderful experience. Thanks guys!","50"
"Akeemthedream78","Wife and I did the tasting menu and wine pairing. Every dish we had was sublime besides the desert(cannoli). The service was spectacular as well. I read other reviews, and before going I was worried that I would hear my server’s life story. Not the case at all. Wines were perfect as well. It cost us about 250 American dollars but considering we are in Copenhagen the price seemed reasonable. If you go I would skip desert and order one additional course. Glad I went and would recommend to others.","50"
"Rossawan P","We had the 7 dish taster menu. I gave the first dish 10/10 but the dishes just got better and better we ran out of numbers to rate the rest. The portion was also perfect. Amazing time we had there.","50"
"Matthew K","I can't recommend this place highly enough. I think this was probably the best overall food experience my wife and I have ever had. Whilst its not cheap, nothing in Copenhagen is, and I really felt it was value for money.   The soup.....oh the soup...i think it needs a new name as soup does not do it justice!  You have got to go for the taster menu and the recommended wines to go with it. Finish off with the cheeseboard which my wife did. I will regret not having it.... probably for the rest of my life!   If i had some advice for future punters it would be let the guys lead you in what to eat and drink. Also, give them back their banter as they love it!. They did not believe me that the cat made me typo my own name...and we fought about it all night long! Right up my street!  Thanks guys, for giving us the best possible food and wine. And the best possible introduction to Copenhagen which my wife and I have fallen in love with.   It turned out to be a fantastic long weekend ....and the bloody cat did stand on the keyboard when I was typing.....oh no, here she is ag9iiji00iju9jhn90y89y ;-)","50"
"FoliesCheres","I had fine dining all over Europe (France, Spain, Italy) and this one of my most memorable meals! We had a 7 course meal with generous wine pairing for 100 euros/person, worthed every penny considering the high quality of food and wine. A meal like that would cost at least $500 pp. here in USA. If you go to Copenhagen this is the best!!!","50"
"SynneUH","Highly recomended this restaurant in the heart of Copenhagen. We had a wonderful night, a five course-tasting menu, with wine to every course and three different wines for the cheese-platter (13 cheeses!!). Book a table today!!!!","50"
"mandmac63","The best restaurant in the world in my opinion!! We have eaten here over the last 7 years and I can honestly say it just gets better and better. The food is exquisite and flavours to die for. Mats is the perfect host and displays...More","50"
"SandyAsh18","This was the perfect place to come dine in Denmark, it is rated highly on trip advisor with every right to be, definitely number one for excellent danish food and service right at the heart of Copenhagen! Stunner of a place!! Hope to be back...More","50"
"Stereotipa","My husband and I went to Restaurant Krebsegaarden on our last day in the city. The experience was just what we were looking for to close our nice trip to Denmark. The owners of the place were hands-on things, so the attention was very personalized. The atmosphere was rather romantique and quaint. The food was extremely delicious. I usually dont enjoy lamb, but their lamb was exceptional for me. Highly recommended!","50"
"22Sanne","The restaurant is located in a charming, very old building. The food was absolutely fantastic, and the five course menu was not too much at all. Every bite was a joy. Very competent and service minded wait staff.","50"
"madsf263","Great Food typical for the different Nordic countries. Well homemade and delicious. Super enthusiastic staff and service.","50"
"thegrahams2001","Before heading to Copenhagen I had carried out some research and decided to book this restaurant based on previous comments made on TripAdvisor. I am so glad I did, and I am also so glad I made my reservation about 5 weeks earlier. I was un sure of exactly what to expect as there was very little in the way of comments on dress code or type of establishment. When we arrived, the restaurant was packed and at that point I just hoped I had confirmed our booking. We were met by Mats, the head chef and he quickly showed us to our table. Our table was up one very small step (watch out for the same step) at the rear of the restaurant. Instantly we were made to feel welcome and any apprehension I had disappeared. Mats took time to explain the options available to us and explained how each option worked. We decided on the sample menu going for 5 courses with wine pairings. Before we even started the food, the bread arrived, a dark rye and honey bread. Absolutely stunning, so we were careful not to fill up on bread before the food arrived. The first course was a langoustine salad. The salad had around 12 ingredients within, cornichons, celery, boiled egg, carrots, bell pepper, dill, bitterness, grapefruit, red onion and I am sure I am missing some. The langoustines were so fresh and along with the salad the taste combinations were amazing. This dish was paired with a lovely dry white wine, perfect. Next was the seabass with a beurre blanc sauce. The fish was perfectly cooked, lovely crisp skin and moist flesh.  Next up was the beer marinated pork cheeks. The pork had been marinated for a couple of days then served with a rich jus, pickled onions and a puree. The pork just fell apart when your fork touched it. Everything on the plate belonged there, the combinations of flavours were amazing again. This dish was paired with an Austrian red wine, stunning. Next up was a stuffed veal fillet with parmesan crisp, veal reduction and gratin potatoes. The veal was cooked perfectly and the depth in the sauce was wonderful.  When the dishes arrived either Mats or a member of staff took time to explain the dish fully and also explain the rational for the pairing with a specific wine. We took a break after this to savour what had gone before. At no point did we feel rushed, the whole evening was enjoyed at a very relaxing and leisurely pace. Finally, we created some space for dessert. We opted for one of each, classic crème caramel and a white chocolate mousse. Both desserts were stunning and the perfect way to finish the meal however the highlight here was the wine. Mats recommended Trockenbeerenauslese, this is a full-bodied dessert wine. AMAZING. The whole evening was simply outstanding, the food, the service, the atmosphere and the surroundings. I am so glad I decided to book this restaurant and thank you other TripAdvisor users for writing your comments.  Mats is an amazing chef but his skills as are a host are pretty amazing too. Thank you, Carsten Marietta and Mats, for a wonderful evening, we will be back. ","50"
"333Helge","What a luck we had that got a table! From moment we walked in to the last sip of wine, we enjoyed everything.  The waiter was indeed knowledgeable and very friendly.  The tasting menu was just fantastic, plate licking good.  Just go there and experience this yourselves","50"
"Nicole197919882014","Definitely the best in cophenaghen especially for vegetarians, I had a nice meal with my friends, i’ll Be back","50"
"Ольга Л","Wonderful place with delicious food, great wine and fantastic atmosphere. It is nice place for meeting with friends and family. The best in Copenhagen.","50"
"alterrandall","Was our first time eating authentic danish cuisine. What a small and cosy restaurant. The food was lovely and fresh. And the atmosphere is very lively. This is not a quiet place if you are looking for this. We still recommend it very much!","50"
"648codyc","We found this gem due to it’s high rating on TripAdvisor and we can confirm that it absolutely lives up to its rating. Mats and Carsten are really excellent hosts that put a lot of thought into the menu and really execute well on their...More","50"
"Lilia1810","Great experience altogether. Nice food , nice atmosphere, awesome service . Definitely it’s a place to have your dinner.","50"
"IngvilT","The food and the two Norwegian chefs that run the restaurant is a must in Copenhagen. They change the menu every month and each dish overgoes even a three star Michelin. Delightful tastes with a twist. We recommend the 4 to 5 meal with a winepacket. We were lucky to get a table due to cancellation. So book many months in advice, if not, call the same day to hear if there is cancellations. A food experience you will remember for a long time!","50"
"wilhelmm-norway","Krebsegaarden is located in an old house in the middle of the old city of Copenhagen. The narrow cobble stone streets and houses take you back to the Old Europe, Entering the restaurant, you are warmly welcomed by one of the owners, and the stage is set: This is a very personal restaurant, With few tables, and owners dedicated to creating a memorable dining experience for its guests - and they do it with passion! This is not a New Nordic restaurant, but rather a selection of classic Nordic tastes with a French twist: Wonderful for the taste buds, a real meal in total, and not the frills and froth of the modern Nordic resturants. In addition, the wine selection is excellent; and, the owners are very apt at chosing great wines from a bit out-of-the ordinary regions. Ask them to compose a selection of wines to emphasize Your dining experience, and you will be surprised at how well they do it! This is Our 3rd visit in a year, and standards are as high as ever, although menus frequently change with season and availabilities.This is equally good for a private romantic dinner as for a business occassion - I have been there for both, and will definitely be back! If you are a party of 6-8 guests: Ask for the table in the basement, and you will have a unique dining experience in a very different ""Chambre separée"". And the best experience is perhaps when you ask for the bill: At Krebsegaarden you leave with a happy thought that this is very good value for its price! Only one problem: Few tables available, so Run and book (or at least book early)!","50"
"Chris_and_Marian2012","The food was excellent if limited and they certainly know what they talk about - but can they talk and they forget that you hear what they say at the next table and it was exactly the same - shame please never forget Customer is KIng","30"
"michaelblunt","Excellent service and food, very nice place, big choice of wines. We spent very nice evening there. Thank you!","50"
"Rudy L","While here on business i had wanted to try the food here as i have heard great things. I took a few coworks out and we all agree, great place to eat. Excellent service very clean and the food is great, i will make sure to visit again pn my next trip.","40"
"ianthy","We enjoyed our first dinner in Copenhagen at Krebsgaarden. The hosts were exceptional in their service- warm, friendly and informative about the food and danish culture.   We started with the duck followed by reindeer. Sadly we had no space for a desert. The wine list is extensive and we ordered an italian bottle of Primitivo - which was superb.   With cafe the bill 1092 kr, (£110), which thought was good value for the quality of food, wine and service.  Thank you for a lovely evening.   ","50"
"L1281IXmarkm","What a taste sensation. Had the taster menu and what an amazing experience. Superb. Never had an experience like this. Just wonderful.","50"
"JessieFR89","The hosts were passionate and we enjoyed our meal here. We were recommended the wine pairing menu to accompany the food. My partner went for this but I declined as I was being conscious of the cost in such an expensive city. With the host...More","40"
"WillyLizard","The staff and the owner is amazing. So friendly and helpful all the evening. The food is also great no matter what you choose.","50"
"juan a","Relaxed atmosphere, honest food and excellent value for money. We had been thinking in trying it out for long time but it seamed to be full every time we managed to have a night off from parenthood. It’s been almost one year since we visited...More","50"
"bstuart","This was a superb experience, not just the food but the passion of the owner and staff. We had the tasting menu with wine flight . Everything was perfectly matched. The enthusiasm and thought that went into the cheese board was magnificent!","50"
"ErnstK165","My fiancé and I came here for our wedding dinner We were persuaded to have a 5 course tasting menu with the wine pairing, which we don't regret one bit. The hosts, the food, the wine and the music were fantastic. The hosts are open...More","50"
"Iulia G","One of the best culinary experiences I had not only in Denmark, but in Europe in general. Surprising and refined in every way. I heard about the new Scandinavian cuisine and I had pretty high expectations, but these guys went far beyond. Congratulations!","50"
"Sarah L","My partner and I had dinner here in August - WOW! Its up there in our top five fave restaurants of all time. We decided on the tasting menu with accompanying wines selected for us. The owners Carsten and Mats could not have been more...More","50"
