"Reviewer_name","Review_text","Rating"
"S1452BYalexandraf","Gorgeous restaurant in a beautiful location! Staff was really nice and nothing was too much trouble for them. Pizza was one of the best I ever experienced outside Italy. Owners are real Italians and you can feel La Dolce Vita here! I really recommend it.","50"
"persilj4","We went for dinner without a reservation, and they were fully booked. However, they suggested we could start outside, and move inside when they got a table of us, which was very nice. Their three-course menu with wines was very delicious and a really good value for money. The service was very pleasant throughout the evening. My only complaint is about the portion sizes - they were rather big for a three-course menu and I hate wasting food. Luckily everything was very good and husband was happy to help.","50"
"553gunap","MaMeMi is SIMPLY AMAZING. Off the beaten path, you'll find some of the most delicious Italian food in Copenhagen.  It's one of my favorite restaurants in Copenhagen not just because of the food, but also because of the atmosphere. The Italian vibe makes you feel like you're a part of the family.  And then comes THE FOOD! It simply keeps getting better and better every time I go there. The latest highlights include the meatballs and parmigiana. SO GOOD!  It's not always easy to get a table on the weekends, so make sure you book in advance.","50"
"Mariaspangse","The best pizza I’ve ever tried. Exclusive wines. Well trained staff, very helpful and sweet. We are definitely coming back.","50"
"sasuke80","When you want pizza you should go for Italians, and this place is run by 3 very committed Italians who deliver a great service besides a delicious pizza. The prices are absolutely fair and they have also a great selection of wines since one of the three guys is an experienced sommelier. To be recommended: you are not going to find a better pizza in Copenhagen!","50"
"365giornidicibo","Mamemi is a cozy place to spent the evening. I had a super pizza with asparagus cheese and poached egg , the dessert was a creamy “crema catalana”, just gorgeous. The atmosphere at Mamemi was relaxing, right music and soft lights. The assortment of wine is very very good. The guys from the staff were frendly, they made me feel at home.  Mamemi is definitely the place to go.","50"
"648holly","It's lovely inside and very cosy, but we were very disappointed with our meal. I'm a vegetarian so my only option was the marinara pizza (80dkk), upon ordering the waiter asked if i wanted it with mozzarella as it doesn't come with cheese at all, which cost an extra 30dkk (making the pizza approx £12 in total). When it arrived, it was a pizza base, tomato sauce (which had NO flavour to it) and sprinkles of mozzarella which hadn't been cooked onto the pizza. It was the most flavourless, boring pizza I have ever eaten, and I cannot get over the price that they're charging for what is essentially a margherita. It's even pricier than pizzas with pancetta and pork cheek on. My boyfriend got the pizza with the pork cheek and apple, thinking it would have small slithers on apple on. It came out covered in large slices of an entire apple, with bits of pork underneath so it overpowered the whole thing.","20"
"Dannibordar","Pizzeria Mamemi is the place to go for a super pizza. I had pizza potatoes pancetta rosmarin and was delicious. The dessert as well are amazing.","50"
"2900Marlene","Amazing food and extraordinary wines! The selection of wines chosen for us was superb and fantastic choices in the combination of our food. The staff was friendly, helpful and very professional. I would strongly recommend this place for visitors and regulars in town.","50"
"A7703PGkates","Loved this place! Really good pizza with slightly more unusual toppings. I had pig cheek and apple on mine and it was amazing! The atmosphere was great: really intimate. They had some good deals on as well but generally reasonably priced for Copenhagen.","50"
"813mcdougall","Definitely not the usual pizza topping combos - we tried pork cheek & apple, potato, pancetta & rosemary and salami & soft cheese. Amazing drinks and great service including bringing a table in for us from outside ! Atmosphere was great and we loved the...More","50"
"D1793IHsam_","The Owner are from Rome. Few dishers, but prepare with fresh ingrediens 👍😊 Prices for a pizza from 1-125 DKK for main course and 3 for 240 DKK are not cheap, but reasonable Tast great like local Italien food, but still pizza from Naples are...More","40"
"H5543RAdani","Got the pizza with apples and onions on top. Nothing ordinary but awesome. Would go there anytime again.","50"
"kovacsj2017","Cosy atmosphere , whit lovely and quality real Italian food. The personal is really caring kind Strongly recommend","50"
"Rita C","WOW! We had great experience at this restaurant, the food is really good and the wine is full of small artisan doing great wine.the pizza is thin and crispy as we like it. The athosfere is cosy and professional service. Definatly raccomended!!","50"
"Domenico L","This place is not just about ""a pizza"". It is about one of the best pizza in town: the ingredients are high quality, the dough is special and very light, the menu is never the same, the wine is fantastic... I super recommend it! :)","50"
"MrAhUa","Every time I come back to this pizzeria I get amazed, really cool guys and good products. Can't wait to go back and have the one with mortadella on top orco giuda! :D","50"
"Bruno C","I went to eat pizza here with friends after reading the great reviews, and I can confirm the professionalism of the staff as well as delicious pizzas. The dough is crispy to perfection and the combination of ingredients well studied. We also took the wine...More","50"
"bigbear26","While on vacation in Copenhagen and somewhat really struggling to find a place to have pizza, one had to rely on Trip Advisor reviews. What a real mistake that was! At times you really cannot trust these reviews. On entrance to this pizzeria you found...More","20"
"SonHen","It's a tiny place, and the menu is very limited but we really enjoyed what we got. The pizza was definitely good quality. The wine menu was extensive, grouped by regions, and we managed to try something new and an excellent pair to the food....More","50"
"roberthO8919OE","It started off well but ended with disappointment. The service level was very good when we arrived and we felt welcomed. But the waiter was stressed when our eight-year-old birthday child tried to order on his own and it got worse by every new guest...More","20"
"Teresazza","On top of being a really cozy place, with eccellent service, it offers the best pizza I have eaten in Copenhagen. I will certainly go back and suggest it to my friends!","50"
