"Reviewer_name","Review_text","Rating"
"peugeot307","I was staying in Copenhagen just for one evening, so spent some time choosing the restaurant and booked a table couple days in advance. This was the best combination of reasonable price and high rating - and I was happy with my choice, it is actually an amazing value. Had a 6 course dinner without wine pairing, just couple glasses of wine. All dishes were cooked super-nicely, and I liked in particular the sauces that were coming with them, they take the taste to a different level. Would give to all the courses served, especially liked trout for a started and the main of a lamb cooked for 10-12 hours at 52 degrees. just excellent dinner and doesn’t make you feel super full, so it’s a good balance of quantity, not easy to achieve. Highly recommend.","50"
"madhulikag2016","Loved the service , ambience , attention to details. As a vegetarian, I had mentioned while booking on TheFork app that I don't eat egg, meat and fish . We called on day of reservation to make sure of the reservation and they said they were very ready to attend to me which my food specifications. We decided to go with the 4 course option with no wine pairing as I only drink sparkling wine . Loved the first 2 course - first course was zucchini swirls in a amazing cucumber sauce and second course was artichoke -crunchy and out of this world . The main course was disappointing in terms of quantity-was 2 stalks of brocolini and some kale. I don't think 2 stalks of brocolini was a good satisfying substitute for lamb which was the non vegetarian option.the dessert was all right. The experience was overall good . With 2 glasses of wine each with 4 course it came to around 215 usd .","40"
"fillllllll","This was a delicious meal in a delightful atmosphere. Staff very friendly and accommodating. Food was top notch. Quite a lot of wine, six large glasses, all very tasty.","50"
"97maartenb","This is the third time in three years that I ended up having dinner here, and Marv & Ben truly keep up the excellence I learned to appreciate so well! Surprising, excellent combinations of food, pairde with beautiful wines, and this all presented im a very welcoming way, even the temperature of wine and food is spot on - every sip and every bite! Looking forward to next time I in town :-)","50"
"Pjverlinden","What a fantastic restaurant and delicious dinner! We selected the 6-course menu with wine pairing. Every dish was absolutely delicious. We particularly liked the Jerusalem artichoke and the trout with German turnip and cockles broth. The wine matching was excellent. We particularly liked the Hess Cabernet Sauvignon. Wine quantity was very large. :) The service was perfect. Nothing negative to say.","50"
"Bloemski","Last March my family and I spent a few days in Copenhagen to visit our son, who is studying there. Since we are all foodies, I booked two restaurants for the two evenings there. First was popular Marv &Ben, which is lauded not only in the Michelin Guide, but is also elsewhere indicated a “must”. During the reservation process it was clear that we were lucky to get a spot at 18:30 and in the e-mail confirmation they were very clear that our table would be needed at 20:30. This is something that one observes more frequently these days, only the French or the really high end restaurants realize that good food is something that should take time to truly enjoy, relax, sit back and really enjoy all the good things that the kitchen took some much effort to prepare for you, the guest. These days, unfortunately, one apparently needs to feel lucky to “get in” and try what is on offer.  At the Airport, right before boarding our flight to Copenhagen, the restaurant called me to confirm. Again, it was firmly, but kindly stated that they needed the table at 20:30. That evening we had an absolutely lovely and inventive meal at Marv&Ben. Staff was very, very kind and friendly. Only thing that we noticed is that wines were extremely expensive. Of course there are differences between Holland and Denmark, but we drank a Gruner Veltliner that we know fairly well for about 300% of the price we are used to. But still: Denmark. Truly, it was lovely, but.... due to the time slot arrangement they uphold, we were rushed though this lovely menu that deserved more time to truly appreciate. At 20:20, whilst shoveling a pretty and refined dessert (what a waste), we were actually informed that we just had another 10 minutes before we had to leave the table.  This is what is wrong nowadays, there is no fault for the lovely people who work there, each and everyone professional and friendly, the kitchen staff inventive, modern and creative, but it felt like we were there for the restaurant, not the other way around. Just a waste to rush so much quality... Apparently that is the norm nowadays, so sad...  ","40"
"Salamno","The food is a surprise, the way the ingredients are combined and the nice way it is presented. We enjoyed the evening a lot over a tasting menu which held a lot of pleasant surprises for our taste buds. The staff was friendly and relaxed despite the fully booked venue.","50"
"TomS879","First night out in Copenhagen and happily satisfied with this restaurant. Magnificent service, great atmosphere and perfect food! The dishes kept on coming at a fantastic pace, tastes that really were perfect combinations of texture, ingredients and acidity! Not to be missed. Congratulations!","50"
"MurraighMcDonald","You definitely should eat here.  Fantastic contemporary food. The '4 Favourites' is great value considering the quality of the dishes. The setting is nice and relaxed, the service is friendly yet very professional.  Each course was well presented and delicious with varying tastes and textures. They would stand up on the 2 Michelin star menus that I've had.  My only disappointment was that I was dining alone.","50"
"IckFick","My first night in Copenhagen and I booked a table online based on TA reviews and also it is not far from my hotel. From the first greeting when I entered to when I left, I felt so welcomed there by young, energetic and knowledgeable staff. They were so nice and attentive. But the food was amazing! I took the 6 course tasting (it seems there are 4 and 6 course options) with wine pairing. The food was creative, local and presented in interesting ways but it was also delicious. Wines were thoughtfully paired and generously poured and each dish and glass of wine were described in detail. It was one of my best dining experiences in a long time. Not cheap but well worth every krone! I highly recommend for the food, the staff and the overall experience.","50"
"JoergBauerle","Super friendly service and delicious food. Fresh and light. Highly recommended for your stay in Copenhagen.","50"
"Dr Lisa M","Wow! What a delightful restaurant. The food, staff and ambience were wonderful. We had the 6 taster menu : our favourites being the artichoke, browned cod , lamb and rhubarb pudding. The snacks before were also very tasty. The waiters were also very attentive and...More","50"
"Suzawilli","We came to Copenhagen to experience the creative food scene. We were not disappointed with Marc & Ben. An explosion 💥of tastes and textures. Loved the taster menu and wine pairing. The artichoke was a creative masterpiece.More","50"
"309neil","So there are obviously a few nice restaurants in Copenhagen but Marv & Ben is definitely worth a visit if time permits. The restaurant does not have a formal feel. There are no table cloths and decor is, as the website suggests, spartan. Tables are...More","50"
"228katarinam","We went for our wedding dinner to Marv & Ben, and it was the perfect choice! First of all, the staff is super organized, attentive, welcoming and genuinely helpful. The dishes were out of this world...and the warm bread with butter! Such a simple thing...More","50"
"SC0590","Amazing restaurant in Copenhagen that has gluten free bread! Copenhagen isn’t the best for gluten free so I was absolutely delighted when Marv & Ben confirmed they could do every dish on the menu gluten free (with only very small adjustments) and they had freshly...More","50"
