"Reviewer_name","Review_text","Rating"
"271russelle","Clearly when in Copenhagen, like many cities, you must try and find somewhere to eat. The dilemma often is where. I always review on TripAdvisor and once again the ranking and comments were spot on.  Looking for a fish restaurants and the best Pescatarian came out as #1 and we were not disappointed.  Arriving slightly early we were greeted as all the chefs left the restaurant. But only to have their photo outside celebrating their nominations in the food awards for Copenhagen . We were surprised to learn they had only opened in January!  My wife and I enjoyed cocktails at the bar and a selection of nuts and I tried two local oysters - very good. We chose the 6 and 4 tasting fish menu with wines and enjoyed each one. My wife particularly enjoyed the very thinly sliced scallops and the Henry Fuchs Riesling and my choice was the langoustine bisque dish and the Arbois Chardonnay.  All round a most enjoyable meal with lively chefs who have a passion for their food and the restaurants success. Worth the cost.  We wish them every success in the Copenhagen food awards but more is there in terms of success in the future.","50"
"outi612018","The restarant has modern Scandinavian style interior. Service is friendly and relaxed, our waiter was quite a showman! We had special snacks and champagne first. The snacks were very interesting and delicious! They have set menu of 4 courses or 6 courses. Food is great and special credits for the dessert. It is a fine dining restaurant and a bit pricy, but worth of it!","50"
"MTDKIR90","We went to visit the newly opened Pescetarian, which was recommended by friends and online magazines. I must say it surpassed my expectations by miles. My partner went for the vegetarian option as she is not fund of fish normally, but even she loved what she tried of mine.  Perfect wine selections with the food, very friendly, open and professional staff. The waiters had great storytelling about each plate which was an experience itself, and the food was some of the best I've had.   I can only give my best recommendations for anyone curious to try The Pescetarian CPh, thanks for a good experience team!","50"
"Ines H","Very delicious danish food that is well presented and tastes even better. Staff is amazing and the service is superb. I only have compliments for this place","50"
"DerrickJS","We celebrated our wedding anniversary at The Pescatarian and loved every minute of it. From a warm welcome through attentive service and skilled craftsmanship in the kitchen The Pescatarian should be regarded as the best restaurant in Copenhagen. They offer two styles of menu. One seafood (of course) and one vegetarian with both being offered in either a 6 course or 4 course format either with or without paired wines. We opted for the four course seafood with wine pairing. Whilst this is not a cheap restaurant, and I doubt anyone would expect it to be, it is still far less expensive than similar restaurants in London or Paris. Highly recommended.","50"
"Isaac R","Very delicious monkfish, i haven't eaten one this good in years. I also liked the squid very much. Service was on point and the wines were pretty good","50"
"Ian H","Exceptional Exceptional Exceptional Wine Food Service Unbelievable Literally run out of superlatives","50"
"lionelf559","12/10 ! Perfect place ! Fresh products, team very kind and nice ambiance 😁 The cocktails are very good after this perfect meal !","50"
"minhn299","Creative , quality, sustainable at very affordable price. What can you ask for more! If you can’t get a table in Noma for 6 months or not prepared to pay for it. Then try Pescatarian when you are in Copenhagen. Located not far from Little Mermaid statue, Pescatarian offers a very friendly atmosphere with open kitchen. The food was stunning as described by many reviews. They had two main menu which is suitable for many preferences. We had our son with us, and they even tailor-made a dish for him. The staff are very well-trained and always with some sense of humor. We started off with the natural oyster which was so good that we ordered extra one. Then followed with 4 course menu with wine pairing. You will have a full description of the food and wines which was quite sophisticated I must say! Can’t wait to be back!","50"
"Line A","The Pescatarian is like their sister restaurant Marv and Ben excellent dining experience. Carefully composed dishes where texture and ingredients add to very tasty dishes in the tradition of the Nordic cuisine. After two visits I cannot choose if I prefers the seafood or Vegatarian menu. Both are great. Great value for money and warm hosting.","50"
"Oldrey","Impeccable service and staff, the food was delicious and very well presented, the wine menu is varied and the options cater to every palate, and the atmosphere was relaxed and busy but at the same time private providing the perfect environment for a good conversation.","50"
"lauraarchi","Our experience at the Pescatarian was just remarkably beautiful. Arriving at the restaurant, we could see the kitchen through the windows and we were instantly sure we chose the right place ! The staff is very welcoming, passionate and friendly, eager to offer their clients...More","50"
"DN747","We had the 6 course meal with wine pairing, one vegetarian and one pescatarian so we could share. Each dish was delicious, creative combinations of local food, great textures and flavours. The wine pairings very much enhanced the meal. The food was well presented but...More","50"
"ValentinaCollu","Amazing taste balance and sublime sensibility compositions, the service and explanations of every dish was mastered and charming, the wine selection and combination was a crescendo all along. Unforgettable taste memories!! Even the bread was dreamy!!","50"
"moalbuquerque","Flawless, perfect, Hygge... what a super surprise! The food is like alchemy and the service is the cherry on top. I can’t start to explain what we liked the most! Clap clap clap and a round 5stars!","50"
"tinetusnelda","Had a wonderful evening at the Pescatarian from the moment we entered. The staff was extremely pleasant and the menu was delicious. We went for the vegetarian 6 course menu and every course lived up to our (high) expectations. Our best recommendations to the Pescatarian....More","50"
"Sfphotocraft","Scandinavian in design, this Copenhagen restaurant is one to try for sure! The menu has two options - a fish side or a vegetarian side. We decided to each get a different one to taste and share. The food was amazing, giving a nod to...More","50"
"mikkelwinckler","One of the absolute best restaurants in Copenhagen. I have already visited The Pescetarian a couple of times now and will definitely be coming back again soon. Every little detail is perfectly thought out and the staff will guarantee you have an amazing evening. The...More","50"
"Mange2teTA","Cooked and served by the most engaging, relaxed, friendly, and knowledgeable crew possible. We were led through the courses and the wines expertly and learned a ton about ingredients and preparation techniques, while enjoying every single one of the seemingly hundred different flavors and combinations....More","50"
"kipticon","A highly recommendable place to go for a delicious meal and professional service. We had the fish & wine menu. Tasteful, beautiful arranged dishes, greatly balanced taste and engaged presentations by the waiter or chef. It was great to sit with view to the kitchen...More","50"
"Suswilkins","Very delicious - nice people and maybe one of the best restaurants we have in Denmark!! I thrower my birthday dinner at pescatarian where we all had the menu and wine pairing - IT WAS AMAZING!! I would say that this is a must if you visit Copenhagen","50"
"TageR83","Our family of 5 persons all selected the large fish menu consisting of 6 small very fresh innovative and tasty dishes. Especially the Langoustine bisque is most likely the best I have ever had. The atmosphere is friendly and informal, The waiters are knowledgable and we had excellent recommendations for food as well as wine. The menu is excellent value for money.","50"
"Gem7Ger","A friend recommended the Pescatarian to me and I am so glad to have had the opportunity to visit! Amazing seafood and vegetarian dishes served in stylish surroundings by incredibly friendly and knowledgeable staff. I will be coming back again and cannot recommend highly enough!","50"
"stumkDenver","We were a group of 4 people for a Friday night dinner. The combination of excellent st.clair oysters as well as superb other seafood combined with great vegetarian dishes was a delight. The wine cellar is also extremely well stocked. Professional and friendly staff made this one of my best restaurant experiences ever!","50"
