"Reviewer_name","Review_text","Rating"
"justinsuk","Huge sandwich with a huge taste. A little expensive but once you see the size of it, you won’t mind paying a bit more. Delicious!","50"
"Pkopi","great Service - the guys have everything under Control - Price and Quality PERFECT …………. thanks a lot for the Service and it is a great trust to pay after Eating!  all the best for the future and when we will come again - our first trip will be there (vienna is calling - we have heard ""Falco"" ) BR Peter (vienna)","50"
"ggin92101","We were blessed to have this cozy little sandwich spot in our neighborhood, but it is worth going out of your way for. Like everyone else has said here, the sandwiches are ENORMOUS, and while my hungry friend and I were going to try two and split them in half, we could only get through one whole sandwich between the two of us. We got the roast pork which was fantastic, complete with crispy, salty skin. And even though we had limited time in CPH, we visited this restaurant a second time, it was that good (and had the pork again). In a city where everything is super expensive, this was a bargain, too.","50"
"the_one_dda","Small and friendly. The club sandwich was unusually large and good. No coffee((( but that is all I can complain about..","50"
"davidpM769RE","We were once and came back! Xxl sandwiches with many options. Fast, good food, vegetarian options.. perfect!","50"
"Trefton","Small little sandwich bar near Orstedparken. Excellent choice. Phenomenal quality and taste. Fantastic value. Just remember to ask for extra serviettes.","40"
"sarasmith152","Absolutely delicious! I had Bbq chicken with cheese. The bread was so good and a lot of chickens inside. I would definitely come back.","50"
"445sabinad","Even if it’s not located directly in the main square, it was absolutely amazing and tasteful! Sandwiches were so fantastic that we had to come back again (during our weekend trip) and try more variations. The fillings are made from high quality’s ingredients! One sandwich is also enough for two people, in case you’re not super hungry :))","50"
"RKJC8691","About a choice of 20 different Sandwich fillings! Massive size good to share! A must try for a quick lunch meal on the go when around the shops or bars!","50"
"sarahsZ3194IU","This is a fast food restaurant but wow is it good. The sandwiches are huge. We split a roast pork sandwich. My daughter had a vegetarian sandwich that she said was great. Our sandwich was delicious. I couldn’t identify all the ingredients though. The menu was not in English and they do not cater to tourist but we had no trouble ordering and felt comfortable. Prices were very reasonable. There is very limited seating.","50"
"810davyt","Found this place on a Google search for lunch close to our base. This was a short 8mins away so thought we'd give it a go. All sandwiches are one price (85dkk which is about £9.50) which keeps things simple. There is alot of choice...More","50"
"98hardeepn","I love sandwiches. So impressing me isn’t the most difficult thing in the world. But my wife is as picky as you’ll ever find somebody - and she absolutely loved this place! It’s a little run down and unassuming - but that’s part of the...More","50"
"issueskid","Upon arrival we found the place packed and not particularly appealing. We ordered a vegan and a vegetarian sandwich and were told there would be a 15 minute wait.   The sandwiches certainly look the part and they are hefty things too. They did not disappoint, I tried my wife’s vegan sandwich which has potatoes on it and it was excellent. Mine too was full of flavour.   Both of us were full after just half a sandwich so we asked for them to be wrapped to go. I have to say they aren’t quite as epic hours later as the bread starts to go a bit soggy.","50"
"Vossers","Delicious warm roast pork sandwich - enough for 2. Toasted rye bread and delicious combination of roast pork, crackling, pickled red cabbage and sliced gherkin. A great sandwich to have as a picnic you won’t need anything else all day!","50"
"Mange2teTA","My husband and I were there for lunch. I had the roast beef, he had the pork. Both were beyond delicious (and the men preparing the food were very nice and helpful---yes, there's a wait but I promise it will be worth it).   My husband, a 6'3"" male, was able to eat his whole sandwich. I, a much shorter female, was not. The kind gentleman wrapped my half sandwich and we were able to pack it to bring it back to our hotel where we have a tiny fridge. If I had didn't have a hotel fridge, I would have been heartbroken to leave such a gorgeous half sandwich uneaten.","50"
"simongb","Got one of these for takeaway. The choice is endless. The sandwich huge. Great flavor and really big enough for two people.","50"
"beargoh","I am not a sandwich person, but what they served won me over. On the first evening in Copenhagen, we had the Smagsloeget Recommend (#1 item in the menu) and on our last evening, the roast pork sandwich.   The Smagsloeget Recommend was to me a healthy sandwich, with lots of vegetables and some ham. The roast pork sandwich was like german style roast pork with pickles and sour cabbages. The roast pork was amazing. The skin were still crackling crispy even after 30minutes (we brought it back to our apartment to eat it with a bottle of ale).   A must eat when you are in Copenhagen.  ","50"
"peterj397","Really good sandwich. I paid 85 DKK for a sandwich. There are discounts for students and military servers though. I can recommend the place for a sandwich to go as the place is really small.","50"
"73aidam","The place is a small crowded sandwich shop. You might need to wait 20 minutes to get your sandwich and there no place to sit but it totally worth it. The sandwiches are delicious and the price is hones","50"
"hakon_adalsteins","I've been there many times and there is a reason why. Really good sandwiches with a large variety to choose from. I usually take my friends there when they are visiting.","50"
"dkrarup","I have to say, I am a Organic food lover, and Smagsløget sandwicheshave not yet found that path.. But what a firework of freshly made cuts, veggies, salads, piled in one sandwich.. let’s say: roast beef for instance.. it came directly from the owen steaming...More","50"
"LuxuriousNomad","What can I say? I absolutely found the food here to be delicious and the sandwiches kept us going all afternoon running around this nice city such was the size of the portions.","50"
"MadsLazionale","Nice and cozy place. Great sandwich, fresh vegetables and not soggy so it's easier for me, when I'm on the go","50"
"614bj_rnc","I had much lunch today at Smagsloeget. I figured out later that I was very lucky: No queue or waiting time. 5 minutes after me entered every 3 minutes some students, couples, singles to order, but they all got their sandwiches very fast. I had...More","50"
"Skye_T_94","Amazing sandwiches - absolutely massive and such good, fresh fillings! Staff very friendly - will wrap up your leftovers so you can take it away. Would definitely come back!","50"
"joeldriver","I saw this place on tripadvisor and restaurants in Copenhagen are expensive so wanted to try something more reasonable priced. I had number 5 the chicken and bacon avocado sandwich was was great. Warm bread and loads of filling! All the reviews on tripadvisor are...More","50"
"219bramm","This is the best sandwich I ever ate! They are big and all ingredients are fresh and pure! I will advise everyone to go there when they would visit Copenhagen. Very friendly!","50"
"jennyl287","The roast pork sandwich was amazing- enourmous and very tasty (although a bit too much mayonnaise as this gets very messy!). A few bar stools around the edge but most people were getting sandwiches to take away. The roast pork sandwich was 85DKK which was...More","50"
"jamiedN17MF","We were not sure where we wanted to eat on our last day in Copenhagen, so I checked trip advisor and Smagsloeget came up and looked interesting. It was about a mile from the Marriott we stayed at, so we took the opportunity to wander...More","50"
"michaelbQ9892NQ","I have to agree with these reviews, it’s probably the tastiest sandwich I have ever eaten! And made in about 2 minutes. Superb!","50"
"Rodders1981","Denmarks best sandwich..... definitely...best sandwich I've ever eaten..... most likely just an awsum concept","50"
"Jorge V","I had the curry sauce one and was really great! The sandwich (really big btw), the price, the staff, highly recommended for a nice lunch in central Copenhagen!","50"
"jameslg1977","I’m 41 years old, love food and love sandwiches. Do these guys make the best sandwiches in the world? Hell yes they do.","50"
"deccie47","Really loved the sandwiches here, super fresh and quiet a lot to eat also. Got the Italian Sandwich which was super tasty. The staff are extremely pleasant and would fully recommend this place for anyone. Can’t wait to go back.","50"
"Ruben W","Can't express how tasty and amazing the sandwich we had. Myself and my partner shared one sandwich and it was more than enough for both of us! Great atmosphere for a local favourite. Would recommend to anyone to visit this quaint sandwich diner and choose...More","50"
"tomimitotoro","The sandwich is huge. Two of us shared one sandwich and felt very full. It's a bit salty in my opinion. But the price is unbeatable.","40"
"dorothysmith","Small place with a few chairs around the edge. Friendly staff that spoke perfect English. All sandwiches freshly made. They were huge, deep filled and very good value for money, you could take away or eat in and the place was constantly full of people...More","50"
"Rochace","beautiful crafted sandwiches with local products. also a good variety of organic drinks. Great for a quick lunch","40"
"Ola K","We were having an amazing sandwiches there. It was huge and with plenty of fillings in. Very satisfying place ♡","50"
"Lauren R","Very big sandwiches that you can easily half with someone else and be left feeling full and satisfied. The sandwiches are packed with fillings that are delicious and the bread is good too. Great value for money, and are made fresh in front of you.","50"
"Trixiebelle76","We visited at Christmas and waited two days to try this out as closed for Christmas Day and Boxing Day. But worth the wait! We managed half each. Brim full of tasty fresh filling. We opted for cheese and chicken (no 13). Blooming gorgeous!! And...More","50"
"ileeee","Very good sandwiches. A big sandwich with good bread and with a generous stuffing, fish, meat and/or cheese and vegetables.","50"
"961agm","Appart from being healthy, these sandwiches are extremely big! For less than 10 euros you can get food for two people. Amazing!","50"
"plunkie1234","Went in here to try get something cheap to eat for dinner before going to the airport. The other reviews are not joking when they say the sandwiches are huge. I was really hungry and I still struggled to finish it. They might seem expensive...More","50"
"Tyra M","This sandwich was delicious! I am definitely heading back while im in Copenhagen! Massive so make sure you are hungry, save it or share it!","50"
"Carol K","My husband and I split one because it was so large and we do not regret going here. The food was great and we got to sit and watch the street from our table. I would highly recommend!","50"
"Pastey08","I like to sample the local food when visiting a city and I had been told to visit this little sandwich shop on the outskirts of the city centre to try their rye bread with roasted pork (Flæskesteg) red cabbage and pickles. Not a combination...More","50"
"MacondoExpresss","Big (huge!) sandwiches at very reasonable prices. Unless you're really hungry, you should consider sharing.. ours were so big we saved them for lunch the day after","50"
"SaraMaria_CPH","Smagsløget is a sandwich shop gem hidden just around the corner from Nørreport Station - it's easy to pass by if you don't know it's there. They use high quality ingredients, aren't stingy about how much they put into the sandwiches, and they always taste...More","50"
"0504Traveller","In doing research on Copenhagen, a lot of people had recommended the sandwiches at Smagsloeget. I was passing near the area so I decided to stop by and try the sandwiches. The place is like a deli where you can order the sandwich and have...More","50"
"M7872TSsamb","Enjoyed a delicious brunch here. Sandwich - Serrano ham, mozzarella and pine nuts, is one of the best I have ever had. No exaggeration. The guys in there were also very helpful and friendly. Couldn’t recommend it enough - especially given favourable prices!","50"
"elibj","We got there after looking for some other places that were closed or more expensive than we thought. It was a nice surprise to find an affordable place that had really huge (aprox 1kg) and tasty sandwiches. The service was really good and they offer...More","50"
"lindasT4994NL","Very very good sandwiches. But take 1 for 2persons if you don’t want to eat your sandwich all day :) We paid 150dkk for 2 sandwiches Not much place inside, but we took take away and went to park :)","50"
