"Reviewer_name","Review_text","Rating"
"mogensen2018","The seven dishes that the dinner consisted of on this special evening - the annual Trimbach evening - harmonized in the finest style the accompanying wines. The atmosphere was top notch, serving discreet and friendly, the restaurant's style and atmosphere in a class of its own. Incomprehensible that Søllerød Kro only has a Michelin star - they deserve at least one more!","50"
"Hotfarm","Together with a group of business associates I had dinner here last week. The old inn is a little bit warn inside but you forget it instantly when you are seated with the menu which is full of super exiting menu suggestions and al’a carte dishes.   I had three dishes  @ Scallops in browned butter and hazelnuts @ Beef, beetroot, black currant, smoked marrow, roses & Caviar @ Selection of European cheeses  ... and additionally a wide range of miniature ‘snacks’ to start with and small cakes/ chocolates for the coffee.   All in all we had an fantastic evening in Søllerød Kro, with excellent food and exquisite wines and superb service from a group of very knowledgeable waiters.   Had it not been for the head waiter who was suffering from a serious cold and struggling while presenting the dishes, it would have been a perfect evening.  ","50"
"OleTr","I have visited Søllerød Kro many times over the years, so many that I will no longer review it in Børsen newspaper, where I am food critic. It is one of my absolute favourrites combining classic french gastronomy with a modest modern influence. Service may be the best in Denmark, is absolutely in the top 3, and the ambience is hyggelig.","50"
"Bulskov","The compositions of food and wine is definitly in a class of its own - elegant, delicious, and every course was signature of Jan, the Chef. The dedication of the staff was also in a class of its own.","50"
"JanochBarbro","Søllerød was chosen best restaurant in Drnmark by Spiseguiden in 2018. And this is the place to go for culinary delights! Go for a set menu, there are several available, from a couple of plates to 8 plus. Service is absolutely excellent, headed by rest manager Jan Restorff who is a true star, making everyone feel welcome as a VIP. Sommelier and servants are excellent too. Food is to die for. Perfect place for celebrations!","50"
"tiitu26","everything about this place is soo nice and a wonderful stay and the food is in high quality. Prob one of my favorite places, I have been to recently!","50"
"Aussieindk","Wonderful from start. Nice welcome, good seating.  Good ambiance and akustic offering easy cross table convesertions.  We dinned a la carte and enjoyed both meat and fish.  The service is well balanced. Attention without constant disturbance. Great information and selektion of good wines.  The food is tasteful and spectacular. Warm food on warm plates. Innovative dishes, challenging and surprising.   Worth the visit.","50"
"NewfMobile","We have visited a couple of times this past year, also with friends, and the food always surpass expectations! The wine list is simply outstanding, and Jan is always there with great recommendations!","50"
"Michael L","The food is of the highest quality and the village setting is lovely. But what really sets this place apart from the rest is the sheer friendliness of the staff. The sommelier is not only knowledgeable, he also revels in finding just the right wines for the table. There are no wine-pairings as in so many other places; it is a totally individualized experience. And you get the message from the moment you enter that everyone on staff wants to make this a happy and memorable occasion for you. We'll surely be back!","50"
"Fanny L","One of our favourite activities is to check out Michelin star restaurant. In DK we had visited more than a dozen over the years from Geranium, Noma to Kadeau and more. Sollerod Kro is definitely one that we would recommend. As expected the methods of cooking is classic French and ingredients selection are superb. Decor is aligned with the historic building, lots of attention to table/silver/glass wears, of course service is impeccable. We had their signature Sunday lunch plus one wine pairing and coffee. The cost is Kr2570/S$552 per head and 4 hours of great time","50"
