"Reviewer_name","Review_text","Rating"
"Pkopi","we were the first time in CPH and also first time in Olive. Great Service and cooking - and it was so nice to have an Waiter who speaks german. Our EN is not so good to understand the menu! It was everything great - BUT - All this were the reason that we want to come again. NO way to get a booking in the evening for the next two days (before we have to leave)","50"
"JBH2015","We ate here on our final night and it turned out to be our favorite meal. Veronica was our server and she was great. The mussels were delicious but the rib appetizer was the best. Fall off the bone ribs cooked overnight. The peppercorn steak entree was delicious, the meat was very tender. Overall it was an excellent experience.","50"
"jelkberk","Our server Veronica transformed a tasty meal into a memorable experience. She was genuinely friendly and thoughtful, and spent extra time after our meal sharing her thoughts about her favorite places to visit in the area. The restaurant has a welcoming vibe supported by delicious food (we sampled the duck confit and seared salmon) at reasonable prices.","50"
"maren h","I can highly recommend this restaurant. The service and food was outstanding. Our waitress answered all the questioned about the menu and was very friendly. The food was amazing. The Salmon Tartar appetizer was so good, so were the mussels. They have plenty of other dishes if you don't like seafood. I would go back on my next trip to Copenhagen.","50"
"TampaRunner13","The food here was absolutely amazing. Our favorite in Copenhagen. My salmon was incredible and my husband's duck the most succulent. This is a very popular spot so make a reservation.","50"
"Jonas1975Dane","Friendly staff and ok food. Not As exciting as most of cphs restaurant scene there days but ok for a casual meal w friends","20"
"dhollier_57","This was a fabulous place from cocktails to the last sip of wine! Mushroom soup: yummmmmm! Salmon dish? Double yummmmm! Wait staff and overall service? Does not get any better. I said I wanted to marry the chef, but they said I’d probably only get part of his arm. This place is a must! Better reserve if you want to try it!","50"
"723stellak","They put our bags onto the floor without asking. Disappointed service and food. Overrated. Not recommend for travellers.","20"
"Safari62156","Very simply if you miss Olive Restaurant in Copenhagen, you’ve missed one of the best things in the great city! Stunning!","50"
"thomasdahl1234","I whent There with 10 of my Friends, i was blown away with the service and the food! Im a head chef. And i Can tell the best abouth this place. Im comming back!!","50"
"Linda C","A very busy buzzy bistro. A smallish but varied menu Best mushroom soup I have ever eaten ( evidently the Chefs mother’s recepie) duck confit was also good . We all enjoyed our visit and recommend it","40"
"raecarranco","We went to Copenhagen for our 20 year wedding anniversary and booked The Olive after seeing the Trip Advisor reviews. Our evening there was simply wonderful. We were greeted promptly, the service was fantastic, the food was delicious and the cocktails were divine. It had...More","50"
