"Reviewer_name","Review_text","Rating"
"R3411FAadamr","I visited Zahida by myself whilst in Copenhagen for the first time, I have eaten Indian cuisine in many different countries and after seeing the top 10 TripA rating I had high expectations. The two things that stood out most to me were of course the delicious and authentic food but also the very welcoming and cool staff. My butter chicken main was top quality and I highly recommend it, the food was complimented by a friendly and funny staff who made me feel right at home. No surprise why they are rated so highly and if I return to the city there’s no question I would dine there again.","50"
"Go380426","My woman and I spent a romantic evening at this restaurant. We were pleasantly surprised by the quality of the food and the good service we received. We recommend booking a table in advance since the restaurant was completely full when we visited it. We recommended the vegetarian package deal. We absolutely loved it!","50"
"Rune V","I have eaten here 10+ times now and I am still not convinced whether the chicken burger or the excellent service takes the trophy! This is a must try if you visit Copenhagen.","50"
"ToddHinLA","This place was awesome. The decor could use some help but don’t be dissuaded, the food is great. We had the vegetarian pre-fixe and didn’t regret the choice. The buttery chick peas were amazing. Definitely would go back again.","50"
"tittaDK","I visited this restaurant yesterday with friends. None of us had been here before but we all wanted to try it.  As soon as we got in and told them we had a reservation, the waiter told us that someone had ""hijacked"" our table and we would have to wait to get a new one (which is quite weird since after you reserve they send you a message saying that you only have 2 hours to finish, because they are famous and so many people want to eat there). We finally got a table and we all chose the menus (2 chef's and 1 veggie). The appetizers were quite good, even though the Samosa was very very dry and clearly not made shortly before.  We then waited quite long, and after asking an older waiter about it he answer pretty rudly. Thankfully the food arrived short after and we got all the other 4 dishes together. Included with the dishes was some rice and similarly looking naan bread. I must say I neved had a worst bread than this one, it was cold and hard and had NO taste at all of garlic.   The lamb and tandori chicken were amazing though and I would definetly go back to have them again.   I would suggest people to visit this restaurant for sure, and hope to get the young waiter (which is amazingly nice) and good tasting naan bread. If that would have happened the dinner would have been 5 stars.","30"
"AyrtHogan","Excellent food with great spice combinations and full flavour. Attentive and kind service - one of the owners, Bobby, is a particularly vivacious character. Hard to come by Pakistani/Indian food and service this good in Copenhagen, let alone anywhere else.","50"
"jeppek2015","Tripadvisor ranks this as one of the best Indians in Copenhagen. The rest must be pretty terrible, because this one is not particularly good. The Butter Chicken didn’t really taste of butter, much more of ketchup. The mixed grill was reasonably okay, but had had too much. The naan bread was boring (factory made?). The female waiter was very nice, whereas the male owner was simply overdoing the familiarity.","20"
"Annemette P","I had the best night at Zahida and I must say, they have the best burger in Copenhagen <3 but we also had the chefs menu, so we could try a bit of everything, and it tasted delicious. The service was great and you really felt welcome. A warm and loving atmosphere! Definitely worth a try. I’m going back there soon.","50"
"Fie W","The butter chicken is amazing and I also got the chance to taste a bit of my friends plate, Mama's House Burger, which is booth spicy and very tasty. Waiters are sweet and create a nice informal environment. I went home with too much food in my stomach because I did not succeed to stop eating :D","50"
"Robinungermann","Very Nice Indeed... Cant forget this... Mama Mia! Tutti Frutti! Know what im saying!? Good Ol Nice dog","50"
